Id,Names,Hair_Color,Gender,Tags
184,Wendy MARVELL,Blue Hair,Female,"['Elemental Powers', 'Healing Powers', 'Magic User', 'Orphan', 'Wind Powers']"
185,Kuro,Multicolored Hair,Male,"['Demon', 'Horns', 'Nekomata', 'Shapeshifter', 'Tail', 'Youkai']"
186,Tsuyu ASUI,Green Hair,Female,"['High School Student', 'Overly Long Tongue', 'Superpowers', 'Teenager', 'Verbal Tic']"
187,Orihime INOUE,Orange Hair,Female,"['Broken Record', 'Clumsy', 'Force Field Powers', 'Healing Powers', 'High School Student', 'Superpowers', 'Teenager']"
188,Yui HIRASAWA,Brown Hair,Female,"['Airhead', 'Band Member', 'Big Eater', 'Clumsy', 'Guitarist', 'High School Student', 'Musician', 'Singer', 'Sweet Tooth', 'Teenager']"
189,Victor NIKIFOROV,Grey Hair,Male,"['Adult', 'Athlete', 'Blinding Bangs', 'Flirt', 'Gay', 'Ice Skater', 'LGBT+']"
190,T.K.,Blonde Hair,Male,"['Bandana', 'Dancer', 'Hair Antenna', 'Piercings']"
191,Usopp,Black Hair,Male,"['Bandana', 'Big Nose', 'Cowardly', 'Goggles', 'Pirate', 'Sailor', 'Sniper', 'Suspenders', 'Teenager']"
192,Denki KAMINARI,Blonde Hair,Male,"['Elemental Powers', 'High School Student', 'Lightning Powers', 'Superpowers', 'Teenager']"
193,Asuma SARUTOBI,Brown Hair,Male,"['Adult', 'Facial Hair', 'Headband', 'Ninja', 'Smoker']"
194,Akio FURUKAWA,Red Hair,Male,"['Adult', 'Cook', 'Hair Antenna', 'Hot-Headed', 'Merchant', 'Smoker']"
195,Megumi FUSHIGURO,Black Hair,Male,"['Darkness Powers', 'Elemental Powers', 'Exorcist', 'Summoners', 'Sword Fighter', 'Teenager']"
196,Rem,Blue Hair,Female,"['Blinding Bangs', 'Chain Fighter', 'Elemental Powers', 'Headband', 'Ice Powers', 'Magic User', 'Maid', 'Sister Complex', 'Teenager', 'Water Powers']"
197,Ryuuko MATOI,Multicolored Hair,Female,"['Frequently-Naked', 'High School Student', 'Orphan', 'Sword Fighter', 'Teenager', 'Transfer Student', 'Vengeful']"
198,Sesshomaru,White Hair,Male,"['Armor', 'Face Markings', 'Pointy Ears', 'Poison User', 'Rapunzel Hair', 'Shapeshifter', 'Stoic', 'Sword Fighter', 'Youkai']"
199,Kiba INUZUKA,Brown Hair,Male,"['Beastmaster', 'Face Markings', 'Headband', 'Ninja']"
200,Blair,Purple Hair,Female,"['Animal', 'Cat', 'Flirt', 'Frequently-Naked', 'Magic User', 'Scantily-clad', 'Shapeshifter', 'Witch']"
201,Shiro,White Hair,Female,"['Airhead', 'Blood Power', 'Hair Antenna', 'Scar', 'Sweet Tooth']"
202,Kenma KOZUME,Multicolored Hair,Male,"['Analytical', 'Athlete', 'High School Student', 'Lazy', 'Stoic', 'Teenager', 'Video Gamer', 'Volleyball Player']"
203,Kei TSUKISHIMA,Blonde Hair,Male,"['Athlete', 'Glasses', 'High School Student', 'Teenager', 'Volleyball Player']"
204,Brook,Black Hair,Male,"['Afro', 'Hat', 'Musician', 'Pervert', 'Pirate', 'Sailor', 'Singer', 'Skeleton', 'Superpowers', 'Sword Fighter', 'Undead', 'Violinist']"
205,Envy,Green Hair,,"['Cruel', 'Gloves', 'Headband', 'Hot-Headed', 'Human Guise', 'Immortal', 'Sadistic', 'Shapeshifter', 'Superpowers']"
206,Yukine,Blonde Hair,Male,"['Ghost', 'Magical Familiar', 'Shapeshifter']"
207,Tomoyo SAKAGAMI,Grey Hair,Female,"['Headband', 'Kuudere', 'Martial Artist', 'Tomboy']"
208,Hideki HINATA,Blue Hair,Male,"['Athlete', 'Baseball Player']"
209,Ray,Black Hair,Male,"['Analytical', 'Blinding Bangs', 'Bookworm', 'Child', 'Child Prodigy', 'Orphan', 'Tattoo']"
210,Kyon,Brown Hair,Male,"['High School Student', 'Teenager']"
211,Kyuubi,Orange Hair,Male,"['Monster', 'Sharp Teeth', 'Tail']"
212,Yuki SOHMA,Grey Hair,Male,"['Cursebearer', 'Deadly Chef', 'High School Student', 'School Idol', 'Student Council', 'Teenager']"
213,Temari,Blonde Hair,Female,"['Beastmaster', 'Bossy', 'Elemental Powers', 'Gloves', 'Ninja', 'Oversized Weapon', 'Pigtails', 'Wind Powers']"
214,Scar,White Hair,Male,"['Adult', 'Alchemist', 'Dark-skinned', 'Muscular', 'Scar', 'Tattoo', 'Vengeful']"
215,Suzaku KURURUGI,Brown Hair,Male,"['High School Student', 'Martial Artist', 'Mecha Pilot', 'Military', 'Student Council', 'Teenager']"
216,Sawako KURONUMA,Black Hair,Female,"['Crybaby', 'Dandere', 'High School Student', 'Shy', 'Teenager', 'Yamato Nadeshiko']"
217,Homura AKEMI,Black Hair,Female,"['Headband', 'Magical Girl', 'Middle School Student', 'Shield Wielder', 'Teenager', 'Time Manipulator', 'Transfer Student', 'Weapon Master']"
218,Excalibur,,Male,"['Big Ego', 'Comic Relief', 'Hat', 'Shapeshifter']"
219,Fuuko IBUKI,Green Hair,Female,"['Airhead', 'Clumsy']"
220,Azusa NAKANO,Black Hair,Female,"['Band Member', 'Guitarist', 'High School Student', 'Musician', 'Pigtails', 'Teenager']"
221,Ling YAO,Black Hair,Male,"['Closed Eyes', 'Foreigner', 'Martial Artist', 'Ponytail', 'Royalty', 'Sword Fighter', 'Teenager']"
222,Shouko NISHIMIYA,Brown Hair,Female,"['Deaf', 'Disabled']"
223,Masaomi KIDA,Brown Hair,Male,"['Flirt', 'High School Student', 'Piercings', 'Teenager']"
224,Souma YUKIHIRA,Red Hair,Male,"['Cook', 'Headband', 'High School Student', 'Scar', 'Teenager', 'Transfer Student']"
225,Mikoto MISAKA,Brown Hair,Female,"['Elemental Powers', 'Hot-Headed', 'Lightning Powers', 'Middle School Student', 'Psychic Powers', 'Superpowers', 'Teenager', 'Tomboy', 'Tsundere']"
226,Shinobu OSHINO,Blonde Hair,Female,"['Immortal', 'Pointy Ears', 'Sweet Tooth', 'Vampire']"
227,Shunsui KYORAKU,Brown Hair,Male,"['Agent of the Afterlife', 'Dual Wielder', 'Facial Hair', 'Flirt', 'Hat', 'Heavy Drinker', 'Lazy', 'Shinigami', 'Sword Fighter']"
228,Fumikage TOKOYAMI,Black Hair,Male,"['Darkness Powers', 'Elemental Powers', 'High School Student', 'Superpowers', 'Teenager']"
229,Haku,Black Hair,Male,['Magic User']
230,Shigure SOHMA,Black Hair,Male,"['Adult', 'Cursebearer', 'Flirt', 'Mischievous', 'Pervert', 'Smoker', 'Writer']"
231,Hiyori IKI,Brown Hair,Female,"['High School Student', 'Psychic Powers', 'Spirit Seer', 'Superpowers', 'Teenager', 'Wealthy']"
232,Haruka NANASE,Black Hair,Male,"['Athlete', 'Stoic', 'Swimmer', 'Teenager']"
233,Zero Two,Pink Hair,Female,"['Headband', 'Horns', 'Mecha Pilot', 'Sweet Tooth']"
234,Hollow Ichigo,White Hair,Male,"['Bloodthirsty', 'Sadistic', 'Sword Fighter']"
235,Meliodas,Blonde Hair,Male,"['Deadly Chef', 'Hair Antenna', 'Magic User', 'Pervert', 'Rosy Cheeks', 'Sword Fighter', 'Tattoo', 'Traveler']"
236,Minene URYUU,Purple Hair,Female,"['Adult', 'Biker', 'Bloodthirsty', 'Explosives Expert', 'Eye Patch', 'Orphan', 'Ruthless', 'Superpowers', 'Terrorist', 'Tsundere']"
237,Mayuri SHIINA,Black Hair,Female,"['Cosplayer', 'Hat', 'Part Time Employee', 'Teenager']"
238,Aru AKISE,Grey Hair,Male,"['Analytical', 'Detective', 'LGBT+', 'Middle School Student', 'Teenager']"
239,Rikka TAKANASHI,Purple Hair,Female,"['Bandages', 'Chuunibyou', 'Club President', 'Eye Patch', 'Hair Antenna', 'Hair Ribbons', 'High School Student', 'Teenager']"
240,Decim,White Hair,Male,"['Agent of the Afterlife', 'Bartender', 'Blinding Bangs', 'Bow Tie', 'Exotic Eyes', 'High Stakes Game Master', 'Stoic']"
241,Rangiku MATSUMOTO,Orange Hair,Female,"['Agent of the Afterlife', 'Flirt', 'Heavy Drinker', 'Lazy', 'Mole', 'Shinigami', 'Sword Fighter']"
242,Kyou FUJIBAYASHI,Purple Hair,Female,"['Tsundere', 'Twin']"
243,Crona,Pink Hair,,"['Blood Power', 'Shy', 'Sword Fighter', 'Teenager']"
244,Giyuu TOMIOKA,Black Hair,Male,"['Adult', 'Demon Hunter', 'Ponytail', 'Stoic', 'Sword Fighter']"
245,Levy MCGARDEN,Blue Hair,Female,"['Bookworm', 'Headband', 'Magic User']"
246,Masami IWASAWA,Red Hair,Female,"['Band Member', 'Guitarist', 'Musician', 'Singer']"
247,Ryunosuke TANAKA,Black Hair,Male,"['Airhead', 'Athlete', 'Buzz Cut', 'High School Student', 'Hot-Headed', 'Teenager', 'Volleyball Player']"
248,Tobi,Black Hair,Male,"['Masks', 'Ninja']"
249,Ash KETCHUM,Black Hair,Male,"['Big Ego', 'Child', 'Face Markings', 'Gloves', 'Hat', 'Hot-Headed', 'Hyperactive', 'Monster Tamer', 'Traveler']"
250,Hatsuharu SOHMA,Multicolored Hair,Male,"['Cursebearer', 'High School Student', 'Martial Artist', 'No Sense of Direction', 'Piercings', 'Split Personality', 'Tattoo', 'Teenager']"
251,Akeno HIMEJIMA,Black Hair,Female,"['Demon', 'Force Field Powers', 'Hair Ribbons', 'High School Student', 'Ponytail', 'Rapunzel Hair', 'Sadistic', 'Teenager']"
252,Simon,Blue Hair,Male,"['Bandages', 'Goggles', 'Mecha Pilot', 'Orphan']"
253,Edward,Orange Hair,Female,"['Barefoot', 'Bounty Hunter', 'Dark-skinned', 'Goggles', 'Hacker', 'Hyperactive', 'Rosy Cheeks']"
254,Christa LENZ,Blonde Hair,Female,"['Military', 'Sword Fighter']"
255,Koyomi ARARAGI,Black Hair,Male,"['Blinding Bangs', 'Class Representative', 'Hair Antenna', 'High School Student', 'Immortal', 'Pervert', 'Sister Complex', 'Superpowers', 'Teenager']"
256,Finnian,Blonde Hair,Male,"['Airhead', 'Clumsy', 'Gardener', 'Hat']"
257,Mugen,Black Hair,Male,"['Dark-skinned', 'Facial Hair', 'Hot-Headed', 'Piercings', 'Sword Fighter', 'Tattoo', 'Traveler']"
258,Minori KUSHIEDA,Pink Hair,Female,"['Athlete', 'Baseball Player', 'High School Student', 'Hyperactive', 'Part Time Employee', 'Teenager']"
259,Sadao MAOU,Black Hair,Male,"['Analytical', 'Charismatic', 'Demon', 'Demon King', 'Horns', 'Human Guise', 'Magic User', 'Part Time Employee', 'Person in a Strange World', 'Poor', 'Royalty']"
260,Mizore SHIRAYUKI,Purple Hair,Female,"['High School Student', 'Shy', 'Stalker', 'Sweet Tooth', 'Teenager', 'Youkai', 'Yuki-onna']"
261,Laxus DREYAR,Blonde Hair,Male,"['Adult', 'Big Ego', 'Elemental Powers', 'Lightning Powers', 'Magic User', 'Muscular', 'Scar']"
262,Guts,Black Hair,Male,"['Adult', 'Armor', 'Mercenary', 'Muscular', 'Orphan', 'Oversized Weapon', 'Scar', 'Sword Fighter', 'Warrior']"
263,Jibril,Pink Hair,Female,"['Angel', 'Animal Ears', 'Bookworm', 'Magic User', 'Tail', 'Wings']"
264,Ino YAMANAKA,Blonde Hair,Female,"['Florist', 'Ninja', 'Ponytail', 'Psychic Powers']"
265,Uryu ISHIDA,Black Hair,Male,"['Analytical', 'Archer', 'Glasses', 'High School Student', 'Superpowers', 'Teenager']"
266,Olivier Mira ARMSTRONG,Blonde Hair,Female,"['Adult', 'Blinding Bangs', 'Bossy', 'Hot-Headed', 'Military', 'Sword Fighter']"
267,Hinami FUEGUCHI,Brown Hair,Female,"['Bookworm', 'Exotic Eyes', 'Headband', 'Monster', 'Shy', 'Teenager']"
268,Nobara KUGISAKI,Orange Hair,Female,"['Exorcist', 'Hammer Wielder', 'Hot-Headed', 'Teenager']"
269,Momo YAOYOROZU,Black Hair,Female,"['Analytical', 'Class Representative', 'High School Student', 'Ponytail', 'Superpowers', 'Teenager', 'Wealthy']"
270,Seras VICTORIA,Blonde Hair,Female,"['Gunslinger', 'Oversized Weapon', 'Vampire', 'Vampire Hunter']"
271,Kotomi ICHINOSE,Purple Hair,Female,"['Airhead', 'Bookworm', 'Musician', 'Pigtails', 'Shy', 'Stoic', 'Tone Deaf', 'Violinist']"
272,Chii,Blonde Hair,Female,"['Amnesia', 'Android', 'Rapunzel Hair', 'Robot', 'Verbal Tic']"
273,Tetsurou KUROO,Black Hair,Male,"['Athlete', 'High School Student', 'Team Captain', 'Teenager', 'Volleyball Player']"
274,Rei AYANAMI,Blue Hair,Female,"['Kuudere', 'Mecha Pilot', 'Middle School Student', 'Stoic', 'Teenager']"
275,Kusuo SAIKI,Magenta Hair,Male,"['High School Student', 'Psychic Powers', 'Stoic', 'Sunglasses', 'Superpowers', 'Sweet Tooth', 'Teenager']"
276,Yachiru KUSAJISHI,Pink Hair,Female,"['Agent of the Afterlife', 'Hyperactive', 'No Sense of Direction', 'Rosy Cheeks', 'Shinigami']"
277,Mello,Blonde Hair,Male,"['Analytical', 'Sweet Tooth', 'Teenager']"
278,Yuuri KATSUKI,Black Hair,Male,"['Adult', 'Athlete', 'Bisexual', 'Dandere', 'Glasses', 'Ice Skater', 'LGBT+', 'Shy']"
279,Moka AKASHIYA,Pink Hair,Female,"['Choker', 'Hair Antenna', 'High School Student', 'Human Guise', 'Teenager', 'Vampire']"
280,Archer,White Hair,Male,"['Amnesia', 'Archer', 'Dark-skinned', 'Dual Wielder', 'Immortal', 'Magical Familiar', 'Sword Fighter', 'Warrior']"
281,Franky,Blue Hair,Male,"['Adult', 'Barefoot', 'Crybaby', 'Cyborg', 'Pirate', 'Sailor', 'Scantily-clad', 'Shipwright', 'Sideburns', 'Sunglasses']"
282,Leorio PALADIKNIGHT,Black Hair,Male,"['Knife Fighter', 'Sunglasses', 'Teenager']"
283,Shinya KOUGAMI,Black Hair,Male,"['Adult', 'Analytical', 'Knife Fighter', 'Police', 'Smoker']"
284,Chihiro OGINO,Brown Hair,Female,"['Child', 'Person in a Strange World', 'Ponytail', 'Rosy Cheeks']"
285,Megumin,Brown Hair,Female,"['Bandages', 'Cape', 'Choker', 'Chuunibyou', 'Explosives Expert', 'Eye Patch', 'Gloves', 'Hat', 'Magic User', 'Staff Wielder', 'Teenager']"
286,Emma,Orange Hair,Female,"['Child', 'Child Prodigy', 'Eternal Optimist', 'Hair Antenna', 'Orphan', 'Pacifist', 'Tattoo']"
287,Mephisto PHELES,Purple Hair,Male,"['Demon', 'Demon Hunter', 'Exorcist', 'Facial Hair', 'Hair Antenna', 'Hat', 'Manipulative', 'Otaku', 'Pointy Ears', 'Shapeshifter', 'Sweet Tooth', 'Teleportation Powers']"
288,Asuka Langley SORYU,Orange Hair,Female,"['Big Ego', 'Bossy', 'Foreigner', 'Hot-Headed', 'Mecha Pilot', 'Middle School Student', 'Teenager', 'Transfer Student', 'Tsundere']"
289,Daichi SAWAMURA,Black Hair,Male,"['Athlete', 'High School Student', 'Team Captain', 'Teenager', 'Volleyball Player']"
290,Piccolo,,Male,"['Alien', 'Cape', 'Healing Powers', 'Martial Artist', 'Pointy Ears', 'Turban']"
291,Yukio OKUMURA,Black Hair,Male,"['Demon Hunter', 'Dual Wielder', 'Exorcist', 'Glasses', 'Gunslinger', 'High School Student', 'Mole', 'Orphan', 'Teacher', 'Teenager', 'Twin']"
292,Kaname KURAN,Brown Hair,Male,"['High School Student', 'Nobility', 'Vampire']"
293,Conny SPRINGER,Grey Hair,Male,"['Airhead', 'Buzz Cut', 'Military', 'Sword Fighter']"
294,Norman,White Hair,Male,"['Analytical', 'Board Game Player', 'Child', 'Child Prodigy', 'Orphan', 'Tattoo']"
295,Makoto TACHIBANA,Brown Hair,Male,"['Athlete', 'Swimmer', 'Teenager']"
296,Izumi MIYAMURA,Black Hair,Male,"['Glasses', 'High School Student', 'Piercings', 'Tattoo', 'Teenager']"
297,Makarov DREYAR,White Hair,Male,"['Balding', 'Elderly', 'Elemental Powers', 'Facial Hair', 'Guild Master', 'Light Powers', 'Magic User', 'Pervert', 'Small Stature']"
298,Hancock BOA,Black Hair,Female,"['Adult', 'Femme Fatale', 'Flirt', 'Pirate', 'Royalty', 'Sailor', 'Superpowers']"
299,Sai,Black Hair,Male,"['Artist', 'Gloves', 'Headband', 'Ninja']"
300,Mystogan,Blue Hair,Male,"['Adult', 'Combat Illusionist', 'Magic User', 'Masks', 'Tattoo']"
301,Zangetsu,Brown Hair,Male,"['Facial Hair', 'Sunglasses']"
302,Cana ALBERONA,Brown Hair,Female,"['Adult', 'Heavy Drinker', 'Magic User', 'Scantily-clad']"
303,Violet EVERGARDEN,Blonde Hair,Female,"['Amnesia', 'Artificial Limb', 'Braids', 'Gloves', 'Hair Buns', 'Hair Ribbons', 'Martial Artist', 'Military Veteran', 'Orphan', 'Stoic', 'Teenager', 'Writer']"
304,Rimuru TEMPEST,Monster,,"['Slime-tachi no Idobata Kaigi', 'That Time I Got Reincarnated as a Slime', 'That Time I Got Reincarnated as a Slime: Digression - Hinata Sakaguchi', 'That Time I Got Reincarnated as a Slime OVA', 'That Time I Got Reincarnated as a Slime Season 2', 'That Time I Got Reincarnated as a Slime Season 2: Part II', ""That Time I Got Reincarnated as a Slime Season 2: Veldora's Journal"", ""That Time I Got Reincarnated as a Slime: Veldora's Journal"", 'The Slime Diaries: That Time I Got Reincarnated as a Slime']"
305,Ritsu TAINAKA,Brown Hair,Female,"['Band Member', 'Club President', 'Drummer', 'Headband', 'High School Student', 'Hyperactive', 'Mischievous', 'Musician', 'Teenager']"
306,Dracule MIHAWK,Black Hair,Male,"['Adult', 'Facial Hair', 'Hat', 'Oversized Weapon', 'Pirate', 'Sailor', 'Sword Fighter']"
307,Joseph JOESTAR,Brown Hair,Male,"['Gloves', 'Hot-Headed', 'Muscular']"
308,Zabuza MOMOCHI,Black Hair,Male,"['Adult', 'Bandages', 'Elemental Powers', 'Gloves', 'Headband', 'Masks', 'Ninja', 'Oversized Weapon', 'Sharp Teeth', 'Sword Fighter', 'Water Powers']"
309,Hachiman HIKIGAYA,Black Hair,Male,"['Analytical', 'Hair Antenna', 'High School Student', 'Teenager']"
310,Haku,Black Hair,Male,"['Elemental Powers', 'Hair Buns', 'Ice Powers', 'Masks', 'Ninja', 'Teenager']"
311,Kyoujurou RENGOKU,Multicolored Hair,Male,"['Adult', 'Big Eater', 'Cape', 'Demon Hunter', 'Epic Eyebrows', 'Fire Powers', 'Flamboyant', 'Sword Fighter']"
312,Faye VALENTINE,Purple Hair,Female,"['Adult', 'Bounty Hunter', 'Femme Fatale', 'Gambler', 'Headband', 'Pilot', 'Scantily-clad', 'Smoker']"
313,Yin,Grey Hair,Female,"['Blind', 'Disabled', 'Hair Ribbons', 'Pianist', 'Ponytail', 'Psychic Powers', 'Stoic', 'Superpowers']"
314,Shouya ISHIDA,Black Hair,Male,"['A Silent Voice', 'A Silent Voice Specials']"
315,Takashi KOMURO,Brown Hair,Male,"['High School Student', 'Teenager']"
316,Kyoka JIRO,Purple Hair,Female,"['High School Student', 'Superpowers', 'Teenager']"
317,Taiga KAGAMI,Red Hair,Male,"['Airhead', 'Athlete', 'Basketball Player', 'Big Eater', 'Epic Eyebrows', 'High School Student', 'Hot-Headed', 'Teenager']"
318,Hak SON,Black Hair,Male,"['Bodyguard', 'Lancer', 'Mischievous', 'Nobility', 'Orphan', 'Teenager', 'Traveler']"
319,Daiki AOMINE,Blue Hair,Male,"['Athlete', 'Basketball Player', 'Big Ego', 'Dark-skinned', 'High School Student', 'Hot-Headed', 'Pervert', 'Teenager']"
320,Raphtalia,Brown Hair,Female,"['Animal Ears', 'Choker', 'Gloves', 'Orphan', 'Sword Fighter', 'Tail']"
321,Ryouta KISE,Blonde Hair,Male,"['Athlete', 'Basketball Player', 'Flirt', 'High School Student', 'Model', 'Piercings', 'Teenager']"
322,Meiko HONMA,Grey Hair,Female,"['Barefoot', 'Eternal Optimist', 'Ghost']"
323,Trafalgar LAW,Black Hair,Male,"['Adult', 'Doctor', 'Eye Bags', 'Facial Hair', 'Hat', 'Piercings', 'Pirate', 'Sailor', 'Superpowers', 'Sword Fighter', 'Tattoo', 'Teleportation Powers']"
324,Asahi AZUMANE,Brown Hair,Male,"['Athlete', 'Facial Hair', 'Hair Buns', 'High School Student', 'Teenager', 'Volleyball Player']"
325,Rem,Multicolored Hair,Female,"['Agent of the Afterlife', 'Bandages', 'Immortal', 'Shinigami', 'Wings']"
326,Tsumugi KOTOBUKI,Blonde Hair,Female,"['Band Member', 'Epic Eyebrows', 'High School Student', 'Musician', 'Pianist', 'Teenager', 'Wealthy']"
327,Houtarou OREKI,Brown Hair,Male,"['Analytical', 'High School Student', 'Lazy', 'Teenager']"
328,Iruka UMINO,Brown Hair,Male,"['Adult', 'Headband', 'Ninja', 'Orphan', 'Teacher']"
329,Esdeath,Blue Hair,Female,"['Bloodthirsty', 'Choker', 'Elemental Powers', 'Hat', 'Ice Powers', 'Military', 'Rapunzel Hair', 'Sadistic']"
330,Kaori MIYAZONO,Blonde Hair,Female,"['Middle School Student', 'Musician', 'Teenager', 'Violinist']"
331,Yuri PLISETSKY,Blonde Hair,Male,"['Athlete', 'Blinding Bangs', 'Hot-Headed', 'Ice Skater', 'Teenager', 'Tsundere']"
332,Momiji SOHMA,Blonde Hair,Male,"['Cursebearer', 'Hat', 'High School Student', 'Musician', 'Piercings', 'Teenager', 'Violinist']"
333,Rin MATSUOKA,Magenta Hair,Male,"['Athlete', 'Sharp Teeth', 'Swimmer', 'Teenager']"
334,Ash Lynx,Blonde Hair,Male,"['Bisexual', 'Charismatic', 'Gangster', 'Gunslinger', 'LGBT+', 'Teenager']"
335,Louise Francoise LE BLANC DE LA VALLIERE,Pink Hair,Female,"['Bossy', 'Cape', 'Hot-Headed', 'Magic User', 'Nobility', 'Teenager', 'Teleportation Powers', 'Tsundere', 'Whip Wielder']"
336,Shura KIRIGAKURE,Multicolored Hair,Female,"['Adult', 'Demon Hunter', 'Exorcist', 'Scantily-clad', 'Sword Fighter', 'Tattoo']"
337,Shana,Black Hair,Female,"['Elemental Powers', 'Fire Powers', 'Hair Antenna', 'High School Student', 'Magic User', 'Orphan', 'Rapunzel Hair', 'Sword Fighter', 'Tsundere', 'Warrior']"
338,Shiina,Blue Hair,Female,"['Ninja', 'Stoic']"
339,Uta,Black Hair,Male,"['Artist', 'Exotic Eyes', 'Merchant', 'Monster', 'Piercings', 'Ponytail', 'Tattoo']"
340,Sousuke SAGARA,Black Hair,Male,"['High School Student', 'Mecha Pilot', 'Mercenary', 'Military', 'Scar', 'Teenager']"
341,Lavi,Red Hair,Male,"['Demon Hunter', 'Exorcist', 'Eye Patch', 'Flirt', 'Hammer Wielder', 'Headband', 'Photographic Memory', 'Piercings', 'Scarf', 'Teenager']"
342,Kagome HIGURASHI,Black Hair,Female,"['Archer', 'Broken Record', 'High School Student', 'Person in a Strange World', 'Teenager', 'Time Traveler', 'Traveler']"
343,Morgiana,Red Hair,Female,"['Barefoot', 'Slave', 'Teenager']"
344,Jyushiro UKITAKE,White Hair,Male,"['Agent of the Afterlife', 'Dual Wielder', 'Shinigami', 'Sickly', 'Sword Fighter']"
345,Keima KATSURAGI,Brown Hair,Male,"['2-D Lover', 'Analytical', 'Choker', 'Glasses', 'High School Student', 'Manipulative', 'Otaku', 'Scarf', 'Teenager', 'Tone Deaf', 'Video Gamer']"
346,Mey-Rin,Red Hair,Female,"['Clumsy', 'Maid', 'Opaque Nerd Glasses']"
347,Yasutora SADO,Brown Hair,Male,"['Blinding Bangs', 'Dark-skinned', 'High School Student', 'Muscular', 'Superpowers', 'Teenager']"
348,Gildarts CLIVE,Brown Hair,Male,"['Adult', 'Artificial Limb', 'Disabled', 'Facial Hair', 'Magic User', 'Pervert']"
349,Future Trunks,,Male,"['Half-Breed', 'Martial Artist', 'Muscular', 'Sword Fighter', 'Time Traveler']"
350,Tooru OIKAWA,Brown Hair,Male,"['Analytical', 'Athlete', 'High School Student', 'Team Captain', 'Teenager', 'Volleyball Player']"
351,Haru YOSHIDA,Black Hair,Male,"['High School Student', 'Hot-Headed', 'Teenager']"
352,Mikuru ASAHINA,Brown Hair,Female,"['Clumsy', 'Crybaby', 'High School Student', 'Shy', 'Teenager']"
353,Eikichi ONIZUKA,Blonde Hair,Male,"['Biker', 'Flirt', 'Hot-Headed', 'Pervert', 'Piercings', 'Smoker']"
354,Senkuu ISHIGAMI,Multicolored Hair,Male,"['Analytical', 'Anti-Gravity Hair', 'Scar', 'Scientist', 'Teenager']"
355,Tenya IIDA,Blue Hair,Male,"['Class Representative', 'Glasses', 'High School Student', 'Superpowers', 'Teenager']"
356,Mashiro SHIINA,Blonde Hair,Female,"['Airhead', 'High School Student', 'Kuudere', 'Mangaka', 'Photographic Memory', 'Stoic', 'Teenager', 'Transfer Student']"
357,Eucliwood HELLSCYTHE,White Hair,Female,"['Armor', 'Hair Ribbons', 'Kuudere', 'Magic User', 'Mute', 'Necromancer', 'Scythe Wielder', 'Stoic']"
358,Kota HIRANO,Black Hair,Male,"['Glasses', 'Gunslinger', 'High School Student', 'Overweight', 'Teenager']"
359,Patricia THOMPSON,Blonde Hair,Female,"['Hat', 'Hyperactive', 'Rosy Cheeks', 'Shapeshifter', 'Teenager']"
360,Gohan SON,Black Hair,Male,"['Big Eater', 'Half-Breed', 'Martial Artist', 'Muscular']"
361,Chika FUJIWARA,Pink Hair,Female,"['Hair Ribbons', 'High School Student', 'Hyperactive', 'Student Council', 'Teenager', 'Wealthy']"
362,Shino ABURAME,Black Hair,Male,"['Beastmaster', 'Headband', 'Ninja', 'Sunglasses']"
363,Naofumi IWATANI,Black Hair,Male,"['Adult', 'Armor', 'Cape', 'Gloves', 'Healing Powers', 'Person in a Strange World', 'Shield Wielder', 'University Student', 'Warrior']"
364,Inori YUZURIHA,Pink Hair,Female,"['Hair Ribbons', 'High School Student', 'Kuudere', 'Singer', 'Stoic', 'Teenager', 'Terrorist', 'Transfer Student']"
365,Virgo,Pink Hair,Female,"['Chain Fighter', 'Earth Powers', 'Elemental Powers', 'Magical Familiar', 'Maid', 'Masochistic', 'Stoic']"
366,Dante,White Hair,Male,"['Adult', 'Demon', 'Demon Hunter', 'Dual Wielder', 'Half-Breed', 'Mercenary', 'Sweet Tooth', 'Weapon Master']"
367,Totoro,Multicolored Hair,Male,['Youkai']
368,Nana,Pink Hair,Female,"['Child', 'Hair Ribbons', 'Headband', 'Horns']"
369,Ami KAWASHIMA,Blue Hair,Female,"['High School Student', 'Model', 'Teenager']"
370,Ayame SOHMA,White Hair,Male,"['Adult', 'Big Ego', 'Cursebearer', 'Flamboyant', 'Flirt', 'Merchant', 'Piercings', 'Rapunzel Hair', 'Tailor']"
371,Konan,Blue Hair,Female,"['Ninja', 'Orphan', 'Piercings']"
372,Mako MANKANSHOKU,Brown Hair,Female,"['Airhead', 'Big Eater', 'High School Student', 'Hyperactive', 'Poor', 'Sleepyhead', 'Teenager']"
373,Hatori SOHMA,Black Hair,Male,"['Adult', 'Blinding Bangs', 'Cursebearer', 'Doctor', 'Smoker']"
374,Rika FURUDE,Purple Hair,Female,"['Child', 'Elementary School Student', 'Orphan', 'Shrine Maiden', 'Verbal Tic']"
375,Misato KATSURAGI,Purple Hair,Female,"['Adult', 'Heavy Drinker', 'Military']"
376,Ikkaku MADARAME,,Male,"['Agent of the Afterlife', 'Bald', 'Hot-Headed', 'Lancer', 'Shinigami']"
377,Spirit ALBARN,Red Hair,Male,"['Adult', 'Pervert', 'Shapeshifter', 'Single Parent', 'Smoker', 'Teacher']"
378,Mikaela HYAKUYA,Blonde Hair,Male,"['Hair Antenna', 'Orphan', 'Sword Fighter', 'Vampire']"
