Monster,"Monster Tamers capture, train and fight fantastical creatures or magical beings. For those taming normal animals, see Beastmasters."
Monster Tamer,"Monsters are fantastical creatures that appear in a wide variety of genres. They're classifed most easily by what they aren't; Vampires, Youkai and a variety of other characters are separate categories. Monsters can be cute and cuddly sidekicks, scary beasts or anything in between, as long as they are fantastical, not found in nature, and don't fit another character classification."
Muscular,These characters are unusually buff and aren't afraid to show off their muscular physique.
Musician,"Musicians are artistic individuals who play at least one musical instrument. They might be Guitarists, Pianists, Bassists, Drummers, or more."
Mute,"These characters are mute: they either are incapable of speaking due to a Disability, or choose not to."
Nature Powers,"These characters have an elemental connection with plants and nature, enabling them to call upon it to use as a weapon in combat, as a barrier to defend themselves, as a power source to strengthen their bodies, or for other reasons. In some cases, their bodies may actually be composed of the element."
Necromancer,"These characters specialize in necromancy, a form of dark magic that involves controlling the dead. Necromancers may summon and control the souls of the dead, or reanimate fresh, rotting or skeletal corpses in order to make them do their bidding."
NEET,"Young people who don't have jobs or aren't enrolled in school are classified as NEETs: Not in Education, Employment, or Training. These characters may refuse to work because they are Lazy, are Hikimomoris, or are simply dropouts."
Nekomata,"A Nekomata is a Cat that has grown old and turned into a Youkai, walking on its hind legs with a tail that's split into two. The Nekomata is frequently confused with the Bakeneko, another cat Youkai that doesn't have a split tail."
Ninja,"Ninjas study the ancient art of ninjitsu. Skills include disappearing in a puff of smoke, making temporary clones, heightened physical agility and speed, stealthy movements, and precision accuracy. Bright-orange attire is optional."
No Eyebrows,These characters have no eyebrows.
No Sense of Direction,These characters are constantly getting themselves or their group completely lost.
Nobility,"Nobles are individuals who hold land passed down through generations. They're given titles such as Marquis, Count, Baron, Earl, or others."
Non-Binary Gender,"Non-binary individuals do not identify as exclusively male or female. They may identify as a third gender (known as X-gender in Japan), as having more than one gender, or no gender. Examples of non-binary identities include agender, genderfluid and bigender. These characters either explicitly or implicitly identify as non-binary. For more information see this Wikipedia article, and read about how we tag LGBT-related content on Anime-Planet."
Nun,Nuns are spiritual sisters who have devoted themselves to their religious cause. They typically live in convents and have taken a vow of celibacy.
Nurse,"Nurses are professional health care providers in the Medical industry, usually working alongside Doctors in hospitals or in schools."
Ojou-sama,"Do these girls typically have an undying sense of privilege, an entourage of followers who treat them like Royalty, and arrogance about their social or economic status? Because they sure do deserve it! OOOOOHOHOHOHOHOHO!"
Opaque Nerd Glasses,"These characters wear large, circular glasses that obscure their eyes with nearly-white lenses. Usually, the lenses contain spirals or circles. Typically these characters have a distinct personality, whether they're a nerd, are socially incompetent or are all-around strange or aloof. For additional eyewear options, see Glasses, Sunglasses, Monocles, or Goggles."
Orphan,These characters were orphaned when both of their birth parents died.
Otaku,"These characters are obsessed with anime, manga and other aspects of Otaku Culture. They tend to be avid Video Gamers, 2-D lovers, or Cosplayers."
Overly Long Tongue,"These characters have a tongue that's significantly longer than others in the characters, be it one that can seemingly reach the owner's eyeballs, or one that shoots out several meters."
Oversized Weapon,These characters wield an excessively large weapon that defies the laws of gravity.
Overweight,These characters are overweight.
Pacifist,These characters firmly oppose violence and will do whatever it takes to prevent a fight.
Pandas,These characters are pandas: large black and white mammals native to China whose diet mainly consists of bamboo. Not to be confused with Red Pandas.
Panther,These characters are biologicalyy a panther.
Parrot,These characters are scientifically classified as parrots: Birds commonly kept as pets due to their ability to mimic the human voice and repeat words they hear people speak.
Part Time Employee,"These characters work at a part-time job, such a a clerk at a Convenience Store, a waitress at a Restaurant, or a salesperson at a shop."
Person in a Strange World,"These characters are suddenly whisked away to a strange world - be it an alien landscape, a parallel dimension, an unfamiliar time in history, a virtual reality they can't escape from, or a number of other settings. "
Pervert,"Perverts love panty shots, bountiful breasts, peeping, or groping others and have a very dirty imagination. They may also be aggressive Flirts who border upon sexual harassment."
Photographer,These characters are professional or amateur photographers.
Photographic Memory,Characters with a photographic memory have the natural ability to recall information in vivid detail and recite it back with perfect accuracy. This phenomenon is also known as having an eidetic memory. These characters have a photographic memory.
Pianist,These characters are Musicians who play the Piano.
Piercings,"These characters are men with any piercings, or women who have anything other than a single piercing in the ears."
Pig,These characters are scientifically classified as pigs. Oink oink!
Pigtails,"These characters wear their hair tied up in two distinct sections, also known as twin-tails. They might also have Hair Drills."
Pilot,"These characters pilot planes, helicopters or other crafts."
Pipe,"These characters are often seen with a pipe in their mouth, whether they smoke it or not."
Pirate,"Yarr matey! These characters are swashbuckling pirates that sail the seas or skies, exploring the world, pillaging the populace, or searching for buried treasure. Not to be confused with their counterparts in the heavens, Space Pirates, or ordinary Mercenaries."
Pointy Ears,"These characters are humans or human-like beings, such as Elves, with pointy ears."
Poison User,"These characters use poison to fight. They can be naturally venomous animals, magicians, superpowered humans, or even characters that wield weapons coated with poison."
Pokemon,"These characters are Pokemon, also known as Pocket Monsters, due to the fact that their human trainers can store them in pocket-sized containers called Poké Balls. Pokemon have unique skills and abilities based on their species, and over time some can evolve into more powerful forms."
Police,"Police forces are responsible for upholding the justice of their nation and/or community. These characters carry out their duties as a protector of the people: patrolling the streets, investigating crimes or potential criminals, or keeping citizens safe, whatever the time or place."
Pompadour,A pompadour is a hair style where the hair is combed up and juts out at the front. Delinquents often sport this haircut.
Ponytail,These characters wear their hair in a single ponytail. Characters that have two ponytails are tagged with Pigtails. A single ponytail can be a Hair Drill.
Poor,These characters live in poverty with barely a cent to their name.
Power Suit,"These characters wear suits of powered armor that are not much larger than the wearer, unlike Mecha, which are giant in size. These suits give the wearer abilities such as enhanced strength or speed, magic shields, or laser weapons. The suits are the product of advanced science or robotics, or have magical origins."
Prehensile Hair,"These characters have the power to control their hair and make it move without touching it. This kind of hair manipulation may include the ability to grasp and lift objects with it, to make one's hair instantly grow and retract, or to fight with their hair by using it as a weapon to attack or restrain opponents."
Priest,These characters are ordained ministers of a Christian church.
Prisoner,"These characters are incarcerated in a prison system, either standard or unconventional. They're watched over by Prison Guards and are under the care of a Prison Warden."
Psychic Powers,"These characters have extraordinary abilities that allow them to project their mind and will onto the world. They might have heightened senses, telekinesis, can mentally project themselves into space or time, or other abilities."
Puppeteer,"These characters use puppets for a hobby, as a profession, or as an Unconventional Weapon."
Racial Purist,"These characters are racists to the extreme. They generally want nothing to do with other races, and may openly advocate for discrimination, or engage in discriminatory behavior. Some of the most extreme cases are willing to go to great lengths to ensure that their race is superior."
Rapunzel Hair,"Like the famous storybook heroine Rapunzel, these characters have extremely long hair that grows far beyond what you would typically expect from the average person - to their knees, to their feet or even dragging on the floor!"
Razor Floss,"These characters wield a long, thin material such as string, thread, hair or fine wire, to cut down their enemies where they stand. They might use this weapon to strangle, cut or incapacitate their opponents, or slice boulders or even entire buildings in half."
Reporter,"These characters report the news for a TV station, magazine, or other medium."
Reptile,"These characters are scientifically classified as reptiles. They're alligators, snakes, or something similarly scaly. Hiss!"
Robot,"Robots are machines that can be programmed to do a human's bidding. They often have an artificial intelligence, similar to their human-like Android counterparts; depending on their programming, this intelligence can at times create conflicts against their creators' wishes. Unlike their partially human Cyborg brethren, robots are entirely mechnaical."
Rosy Cheeks,These characters have perpetually pink or red cheeks.
Royalty,"These characters are members of a royal family, and typically have a title such as King, Queen, Prince, or Princess. Not to be confused with Nobility."
Ruthless,"Ruthless characters lack empathy for their fellow beings. They will go to extreme measures to do whatever it takes to succeed, regardless of who gets in their way or gets hurt in the process."
Sadistic,These particularly twisted individuals enjoy inflecting pain and suffering on others.
Sailor,"These characters sail the seven seas in boats, Ships or submarines. They may do this for commercial profit, Military service, or to explore the world and satisfy their thirst for adventure."
Salaryman,"To the salaryman, work is everything. Every morning, they throw on the same blue suit, white shirt, tie, and shined black shoes to work in their office cubicle. Health and family pale in comparison to their all-important career."
Samurai,"Samurai are those who follow bushido, the classical Japanese warrior code, as a way of life, and usually hone their skill in combat to make their way in the world or perfect themselves. They might be in service to a liege lord, or are ronin types who serve none but themselves."
Scantily-clad,These characters wear skimpy clothing that barely covers their body.
Scar,These characters have a visible or hidden scar somewhere on their body.
Scarf,These characters wear a scarf as part of their normal outfit.
School Idol,"School Idols are the most popular students at a school. They're usually attractive and are often successful at sports, school grades, or other achievements. School Idols might even have their own fan clubs!"
School Principal,"These characters are the head of a school. They manage teachers, coordinate schedules, and interact with students."
Scientist,"These characters are passionate about science and are experts in one or more scientific fields. They might be professional researchers, enthusiasts who perform experiments at home in a lab coat, or mad scientists who use their knowledge for questionable or evil purposes."
Scythe Wielder,These characters wield a scythe as their primary weapon.
Secret Identity,"These characters live a double life with a secret identity. Examples include Thieves, masked superheroes, and magical girls."
Selfish,These characters only care about themselves.
Seme,"In Yaoi anime and manga, the Seme is the dominant partner in a relationship between two men."
Shapeshifter,"Shapeshifters can naturally change their physical appearance to something else, such as a weapon, an animal, or a human."
Shared Body,"These characters have two or more personalities that inhabit the same body through some form of fantastical means, such as possession. Unlike a character with a Split Personality, these consciousnesses are two entirely different 'people' sharing the same body."
Sharp Teeth,"Instead of a regular toothy grin, these characters have pointy, shark-like teeth."
Shield Wielder,"These characters wield a shield as part of their equipment. Although shields are almost always used for defense, they are also used to attack in some cases."
Shinigami,"Shinigami, also known as death gods, are mysterious figures that interact with the dead or the soon-to-be deparated. These beings may assist souls in passing to another world by arriving to lend a helping hand at the moment a person dies, or might maliciously divert a passing soul for their own motives. Shinigami are Agents of the Afterlife."
Shinsengumi,"In Feudal Japan, the Shinsengumi were members of a specialized Police force, made up of ""ronin"" - masterless Samurai."
Shipwright,"Shipwrights enjoy building, repairing, or outfitting ships."
Shrine Maiden,Shrine Maidens are women who maintain and act as a caretaker for Shinto shrines. They typically wear red and white outfits.
Shy,"These characters are quiet, reserved, and don't handle social interactions well. They can be easily flustered and will often run and hide from overwhelming encounters."
Sickly,"These characters tend to be weak, or chronically ill, and can often be seen in the hospital."
Sideburns,These characters sport sideburns: facial hair that extends from the hairline to beside or past the ears. This tag also includes characters who have "mutton chops": a form of beard grown on the cheeks.
Singer,"These characters are singers in a Band, as an Idol or other solo act, or in a choir."
Single Parent,"These characters are the sole caregivers of a child. They might be the biological parent, an adopted parent, or simply a primary caretaker."
Sister Complex,"These siblings want nothing more than to ensure the well-being and happiness of their beloved sister, often to an unhealthy or even romantic degree. They're known to be over-protective and jealous of their sister's suitors."
Skeleton,These characters have nothing more left to their physical bodies than their bones.
Slave,These characters work under a person as a slave
Sleepyhead,"Sleepyheads are borderline narcoleptic, capable of falling asleep at a moment's notice and prone to oversleeping."
Slime,These characters are masses of gelatinous fluid that typically don't have a distinct shape.
Small Stature,These characters are smaller than normal for their race or age. Not to be confused with Tiny People.
Smoker,"These characters smoke cigarettes, pipes, or other items."
Snaggletooth,These characters have a single fang that protrudes from their mouth. Characters with this design are often cute and Mischievous.
Sniper,"These characters are snipers: marksmen that shoot their targets from long distances, usually from a concealed position."
Soccer Player,"These characters are Athletes that play the Sport of Soccer, also known as Football."
Space Pirate,"Space Pirates pillage and plunder spaceships throughout the galaxy, rather than sailing the seas like their swashbuckling brethren."
Spirit Seer,"These characters have a unique ability to see ghosts, youkai, or other spirits around them."
Split Personality,"These characters have multiple personalities. This may be the result of magic, a supernatural occurrence, or the character may have Dissociative Identity Disorder (also known as Multiple Personality Disorder), a Mental Illness that causes the person to shut off or dissociate their mind from their current surrounding by shifting to a different personality."
Spy,"These characters are employed to complete a variety of discreet tasks for their employer, including surveillance, infiltration, and other types of espionage."
Staff Wielder,"These characters regularly carry a staff. It may be a common staff used for walking, a battle staff used for fighting, a magic staff used for casting spells or performing exorcisms, a traditional khakkhara issued to Buddhist monks, or a staff of office carried as a sign of authority."
Stalker,"A stalker spends a great deal of time following a target for romantic or nefarious reasons. They’re often hiding in the shadows, habitually following their obsession or observing them from afar."
Stoic,"On the outside, these characters appear to be emotionless and seem to be in complete control of their emotions. Stoic characters might be Kuudere or Dandere."
Student Council,"These characters are part of their school's student council. Elected by the student body, student councils represent their peers when it comes to school affairs."
Succubus,"A succubus is a Demon or spirit in female form that engages in sexual intercourse to feed off the energy of their partner. In traditional folklore, succubi would visit men in their sleep, but modern renditions of these creatures can have them pursuing people of either sex, whether they are asleep or awake."
Summoners,"Summoners are characters who call on beings, such as Magical Familiars, to be instantly teleported to their aid. This could be accomplished through an incantation, object, or any other supernatural means. See Monster Tamers for characters who focus on raising instead of summoning, and Battle Gamers for card game players."
Sunglasses,"These characters wear sunglasses as part of their normal outfit. Yes, even at night. For other forms of eyewear, see Glasses, Opaque Nerd Glasses, Goggles, and Monocles."
Superpowers,"These characters have superpowers: special abilities that the majority of modern humans do not possess. Unlike skills that are studied and learned through traditional means, these abilities are inherent strengths that arise from genetic differences, random accidents, or exposure to strange phenomena."
Suspenders,"These characters wear suspenders. These adjustable straps, also known as trouser braces, are worn over the shoulders and clipped onto pants or skirts to hold them up."
Sweet Tooth,"These characters have an intense love of sweets, from candy, to chocolates, to cake, or other desserts."
Swimmer,Swimmers are Athletes who compete against other swimmers in pool races.
Sword Fighter,"For other blade users, see Claw Weapons, Knife Fighters and Arm Blades. "
Tail,"These characters are humans or other creatures that have a tail. Standard animals, such as Cats or Dogs, do not receive this tag."
Tailor,"Tailors enjoy producing, altering, or repairing clothing."
Tattoo,These characters have one or more tattoos somewhere on their body. Not to be confused with Face Markings.
Teacher,"Teachers are responsible for educating their students, whether they work in a high school, a specialized school, or some other institution."
Team Captain,These characters are team captains: players that have been chosen to be the leader of a sports team.
Team Coach,"These characters are in charge of training an athletic Sports team. They might be a Teacher, or a fellow student, and usually work closely with Team Managers."
Team Manager,"These characters help organize players and matches for an athletic Sports team. They might be a Teacher, or a fellow student, and usually work closely with Team Coaches."
Teenager,These characters are between the ages of 13 and 19.
Teleportation Powers,"These characters have the ability to teleport from place to place using Magic or Superpowers. Characters with teleportation powers may use them to travel great distances, pass through walls and barriers, or move quickly and avoid harm in battle."
Terrorist,"Terror is an attempt to actively cause fear in a population. This can be accomplished by bombing, disease warfare, hostage taking, or any number of other methods. Terrorists may have a specific objective, something they are expecting from the government or people they are targeting, or they may be simply intending to promote chaos in an area."
Thief,"Thieves are experts in taking what belongs to others, by stealth, force, or treachery."
Time Manipulator,"Time Manipulators have the ability to control time using Magic or Superpowers. Characters who can manipulate time may be able to jump backward or forward in time, reset time back to a specific point, or can speed, slow, or freeze time entirely. People with time manipulation powers may also be Time Travelers."
Time Traveler,"These characters travel through time, usually with an invention called a time machine."
Tomboy,"Tomboys are girls that prefer to exhibit characteristics typically associated with boys. This might include wearing masculine clothes, referring to themselves using masculine speech or engaging in games or activities usually associated with boys."
Tone Deaf,Tone deaf characters can't distinguish between musical pitches accurately. The fastest way for these characters to clear a room is to start singing.
Topknot,"A topknot is a hairstyle where any hair on the top of the head is gathered at the back, similar to a Ponytail. With the related style called Chonmage, the top of the head is partially shaved as well. It is typically associated with male Samurai and/or traditional Japanese athletes, such as sumo wrestlers."
Transfer Student,These characters are students who have recently transferred to another school.
Transgender,"Transgender individuals typically identify with a gender that differs from their birth sex. These anime characters either explicitly or implicitly identify as Transgender. For more information see this Wikipedia article, and read about how we tag LBGT-related content on Anime-Planet."
Traveler,"Traveling characters wander the land for personal or professional reasons. They might be adventurers on a quest, someone in search of a lost person, or people whose job requires them to move from place to place, such as Merchants or Traveling Performers."
Treasure Hunter,"Treasure Hunters have one goal in life: to locate and acquire gold, jewels or downright rare items by any means necessary. These characters are known to travel the land or the galaxy in search of riches beyond their wildest dreams, no matter the authority figures or laws that stand in the way."
Triplet,These characters are triplets: one of three siblings born at the same time.
Tsundere,"Rough and tough exterior - soft, sweet, nougaty center. A Tsundere is a character who is or appears conflicted in their affection for another, seeming either interested or apathetic, dismissive, or even vicious in turns as the circumstances change."
Turban,These characters wear a turban atop their head.
Twin,These characters are twins: a set of fraternal or identical siblings. Am I seeing double?
Tyrant,"A tyrant is an absolute ruler that answers to no one. Tyrants enforce their will with a brutal iron fist and are often Ruthless, or even Sadistic."
Uke,"In Yaoi anime and manga, the Uke is the submissive partner in a relationship between two men."
Unconventional Weapon,"These characters wield something unconventional as their weapon of choice, from bananas to umbrella to anything in between."
Undead,"These characters are zombies, skeletons, or some other form of creature that has died, but has come back to life."
University Student,"These characters are pursuing a form of higher education through college, university, or a specialized institution."
Vampire,"These characters are dedicated to finding and killing Vampires. Some do this solely to protect humanity, while others are hunters-for-hire who slay them for profit."
Vampire Hunter,"These characters are vampires who drink blood, can't sunbathe or have a pesky sensitivity to garlic."
Vengeful,"Vengeful characters are on an unforgiving mission, seeking Revenge against individuals or groups for perceived slights or injustice."
Verbal Tic,These characters have an involuntary speech pattern. Desu!
Video Gamer,"These characters love to play video games on consoles, computers, or arcade machines."
Violinist,"Violinists are Musicians who play violins, violas, or fiddles."
Vocaloid,"Vocaloids are pre-packaged audio synthesizers that mimic the sound of a human-like voice and can be programmed to 'sing' words as they are written. They may receive recognition almost like real pop stars in Japan. These characters are personifications of Vocaloids, such as Miku Hatsune."
Volleyball Player,These characters are Athletes that play the Sport of Volleyball.
Waiter,"These characters work as waiters or waitresses in Restaurants, Bars, or Cafes."
Warrior,"Warriors are experienced in warfare and are experts in melee combat. They are often employed as fighters, soldiers and Bodyguards. Knights and heroes are also common examples, especially in medieval fantasy series."
Water Powers,"These characters have an elemental connection with water, enabling them to call upon it to use as a weapon in combat, as a barrier to defend themselves, as a power source to strengthen their bodies, or for other reasons. In some cases, their bodies may actually be composed of the element."
Wealthy,These characters possess a great deal of money. Women might be Ojou-samas.
Weapon Master,"These characters are talented individuals that are adept at wielding many types of weapons, such as swords, whips, scythes, or others."
Wheelchair,"These characters are confined to a wheelchair, usually due to a Disability, or because they are Sickly."
Whip Wielder,These characters wield a whip as their weapon of choice.
Widow,"These characters were once married, but now live alone due to their spouse's death."
Wind Powers,"These characters have an elemental connection with wind, enabling them to call upon it to use as a weapon in combat, as a barrier to defend themselves, as a power source to strengthen their bodies, or for other reasons. In some cases, their bodies may actually be composed of the element."
Wings,"These characters are Angels, Fairies, or some other fantastical creature that has wings made of feathers, scales, or some other material. Normal animals with wings, such as Birds, are not given this tag."
Witch,"These characters are witches: Magic Users who often possess classic traits such as pointy hats, flying brooms, and black cat familiars. Some are protagonists looking to improve their craft, have adventures, or save the world; others might be tricksters or outright villains who cause suffering and misfortune for others. Young witches might study Magic by serving an Apprenticeship, or attending a Magic School."
Wolf,These characters are scientifically classified as wolves. Awooooo!
Writer,"These characters feature writers: people who have a career or hobby related to literary works. They might be an author that works in the Manga Industry or Novel Industry, or they might write poetry, draft news articles, or simply write for fun."
Yamato Nadeshiko,"A Yamato Nadeshiko is the stereotypical perfect Japanese woman. She is soft-spoken, mild-mannered, an excellent housekeeper, and a wonderful cook."
Youkai,"Youkai are Supernatural spirits that originate from Japanese Folklore. Common examples include the Kappa, Kitsune, and Yuki-onna."
Yuki-onna,"The Yuki-onna is a Youkai that's known to appear before men trapped in snowstorms before sucking the life and heat out of them. They're typically depicted as being exceptionally beautiful with pale skin, dark hair, and a white kimono. They leave no footprints where they walk and are sometimes considered to be made out of snow itself."
Zombie,"Zombies can take many forms: from slow, shuffling and mindless undead, to relatively normal-looking humans, to anything in between. What they have in common is they're reanimated corpses brought back to life through an outside force. Who's hungry for some brains?!"
